date,Composite Ticker,Constituent Ticker,Weight,Shares Held,Market Value,price,ret
2017-04-10,VNQ,SPG,0.06847,24101042.0,4444232145.0,184.4,0.0
2017-04-10,VNQ,PSA,0.03963,11307295.0,2571957321.0,227.46,0.0
2017-04-10,VNQ,PLD,0.03189,40543979.0,2069770128.0,51.05,0.0
2017-04-10,VNQ,EQIX,0.03172,5474684.0,2058864412.0,376.07,0.0
2017-04-10,VNQ,WELL,0.03015,27805267.0,1956934691.0,70.38,0.0
2017-04-10,VNQ,AVB,0.02982,10532717.0,1935702730.0,183.78,0.0
2017-04-10,VNQ,EQR,0.02725,28045938.0,1768857310.0,63.07,0.0
2017-04-10,VNQ,VTR,0.02722,27159467.0,1766723328.0,65.05,0.0
2017-04-10,VNQ,BXP,0.02526,11794182.0,1639745123.0,139.03,0.0
2017-04-10,VNQ,VNO,0.02208,13046037.0,1433368085.0,109.87,0.0
2017-04-10,VNQ,DLR,0.02028,12190195.0,1316541060.0,108.0,0.0
2017-04-10,VNQ,O,0.01873,19834219.0,1215440940.0,61.28,0.0
2017-04-10,VNQ,ESS,0.01817,5025115.0,1179394491.0,234.7,0.0
2017-04-10,VNQ,HST,0.01573,56747180.0,1020881768.0,17.99,0.0
2017-04-10,VNQ,MAA,0.01378,8707813.0,894553629.0,102.73,0.0
2017-04-10,VNQ,KIM,0.01195,31988488.0,775720834.0,24.25,0.0
2017-04-10,VNQ,EXR,0.01178,9654632.0,764550308.0,79.19,0.0
2017-04-10,VNQ,UDR,0.01154,20518985.0,748942953.0,36.5,0.0
2017-04-10,VNQ,ARE,0.01121,6097093.0,727444166.0,119.31,0.0
2017-04-10,VNQ,IRM,0.01076,19215864.0,698496656.0,36.35,0.0
2017-04-10,VNQ,REG,0.00908,8373055.0,589044419.0,70.35,0.0
2017-04-10,VNQ,CPT,0.00876,6716553.0,568556211.0,84.65,0.0
2017-04-10,VNQ,KRC,0.00842,7084584.0,546575656.0,77.15,0.0
2017-04-10,VNQ,BRX,0.00825,22945486.0,535547643.0,23.34,0.0
2017-04-10,VNQ,NNN,0.00787,11295938.0,511028235.0,45.24,0.0
2017-04-10,VNQ,ELS,0.00763,6222132.0,495406150.0,79.62,0.0
2017-04-10,VNQ,WPC,0.00754,7752013.0,489074500.0,63.09,0.0
2017-04-10,VNQ,OHI,0.00753,14982624.0,489032847.0,32.64,0.0
2017-04-10,VNQ,GLPI,0.00704,14288615.0,457235680.0,32.0,0.0
2017-04-10,VNQ,DEI,0.00687,11052254.0,445847926.0,40.34,0.0
2017-04-10,VNQ,SUI,0.0068,5326563.0,441199213.0,82.83,0.0
2017-04-10,VNQ,HIW,0.00622,7693281.0,403820320.0,52.49,0.0
2017-04-10,VNQ,AMH,0.00602,16432010.0,390588878.0,23.77,0.0
2017-04-10,VNQ,CUBE,0.0058,13822966.0,376675824.0,27.25,0.0
2017-04-10,VNQ,EPR,0.0058,4892918.0,376558969.0,76.96,0.0
2017-04-10,VNQ,MPW,0.00508,24584902.0,329929385.0,13.42,0.0
2017-04-10,VNQ,APLE,0.00493,16283226.0,319802559.0,19.64,0.0
2017-04-10,VNQ,EQC,0.00441,9156352.0,286227564.0,31.26,0.0
2017-04-10,VNQ,HR,0.00438,8896988.0,284347736.0,31.96,0.0
2017-04-10,VNQ,CUZ,0.00423,32130784.0,274718203.0,8.55,0.0
2017-04-10,VNQ,SHO,0.00378,16623368.0,245194678.0,14.75,0.0
2017-04-10,VNQ,FR,0.00372,8976798.0,241475866.0,26.9,0.0
2017-04-10,VNQ,PK,0.00359,9119303.0,232906999.0,25.54,0.0
2017-04-10,VNQ,NHI,0.00357,3059440.0,231660797.0,75.72,0.0
2017-04-10,VNQ,RHP,0.0035,3524575.0,227229350.0,64.47,0.0
2017-04-10,VNQ,EGP,0.00289,2526287.0,187804176.0,74.34,0.0
2017-04-10,VNQ,LXP,0.00282,16383310.0,182837740.0,11.16,0.0
2017-04-10,VNQ,STAG,0.00231,5802871.0,149888158.0,25.83,0.0
2017-04-10,VNQ,SBRA,0.0021,5010575.0,136287640.0,27.2,0.0
2017-04-10,VNQ,REXR,0.0018,5070446.0,116518849.0,22.98,0.0
2017-04-10,VNQ,ADC,0.00154,2008166.0,99665279.0,49.63,0.0
2017-04-10,VNQ,TRNO,0.00152,3563643.0,98712911.0,27.7,0.0
2017-04-10,VNQ,FCPT,0.00149,4368222.0,96887164.0,22.18,0.0
2017-04-10,VNQ,NSA,0.00122,3256934.0,78882941.0,24.22,0.0
2017-04-17,VNQ,SPG,0.06542,23930095.0,4116694243.0,172.03,-0.0671
2017-04-17,VNQ,PSA,0.03906,11227029.0,2457708918.0,218.91,-0.0376
2017-04-17,VNQ,EQIX,0.03714,5837782.0,2337272779.0,400.37,0.0646
2017-04-17,VNQ,PLD,0.03319,40256390.0,2088501513.0,51.88,0.0163
2017-04-17,VNQ,WELL,0.03107,27608468.0,1955231704.0,70.82,0.0063
2017-04-17,VNQ,AVB,0.03051,10457987.0,1920086413.0,183.6,-0.001
2017-04-17,VNQ,VTR,0.02787,26967130.0,1753942135.0,65.04,-0.0002
2017-04-17,VNQ,EQR,0.02754,27846954.0,1732637478.0,62.22,-0.0135
2017-04-17,VNQ,BXP,0.02464,11710627.0,1550604121.0,132.41,-0.0476
2017-04-17,VNQ,VNO,0.02065,12953550.0,1299370601.0,100.31,-0.087
2017-04-17,VNQ,DLR,0.02046,12103657.0,1287708068.0,106.39,-0.0149
2017-04-17,VNQ,O,0.01863,19693578.0,1172358698.0,59.53,-0.0286
2017-04-17,VNQ,ESS,0.01836,4989453.0,1155208053.0,231.53,-0.0135
2017-04-17,VNQ,HST,0.01671,56344124.0,1051381354.0,18.66,0.0372
2017-04-17,VNQ,MAA,0.01398,8646110.0,879655231.0,101.74,-0.0096
2017-04-17,VNQ,REG,0.01228,11638558.0,772683866.0,66.39,-0.0563
2017-04-17,VNQ,UDR,0.01173,20352166.0,737969539.0,36.26,-0.0066
2017-04-17,VNQ,EXR,0.01133,9580789.0,712714894.0,74.39,-0.0606
2017-04-17,VNQ,KIM,0.01115,31757647.0,701526422.0,22.09,-0.0891
2017-04-17,VNQ,IRM,0.0108,19059894.0,679866419.0,35.67,-0.0187
2017-04-17,VNQ,ARE,0.01062,6047955.0,668419987.0,110.52,-0.0737
