ETFG Date,Composite Ticker,Constituent Ticker,Weight,Shares Held,Market Value
2017-04-03,NURE,MAA,0.0505387088,3125.0,318031.25
2017-04-03,NURE,HST,0.0502919372,17228.0,316478.36
2017-04-03,NURE,AVB,0.0501928991,1721.0,315855.13
2017-04-03,NURE,UDR,0.0498114519,8695.0,313454.75
2017-04-03,NURE,ESS,0.0496753016,1354.0,312597.98
2017-04-03,NURE,EQR,0.0492156957,4984.0,309705.76
2017-04-03,NURE,PSA,0.0486168692,1395.0,305937.45
2017-04-03,NURE,EXR,0.0476924783,3973.0,300120.42
2017-04-03,NURE,CPT,0.0476820474,3726.0,300054.78
2017-04-03,NURE,AIV,0.0470820657,6685.0,296279.2
2017-04-03,NURE,ACC,0.0431070306,5675.0,271265.0
2017-04-03,NURE,ELS,0.0429363664,3472.0,270191.04
2017-04-03,NURE,SUI,0.0362198917,2848.0,227925.44
2017-04-03,NURE,HPT,0.0352271198,6993.0,221678.1
2017-04-03,NURE,AMH,0.0335852689,9213.0,211346.22
2017-04-03,NURE,CUBE,0.0316941914,7671.0,199446.0
2017-04-03,NURE,LSI,0.025768913,1979.0,162159.26
2017-04-03,NURE,SHO,0.0224219075,9369.0,141097.14
2017-04-03,NURE,SFR,0.0223370791,4133.0,140563.33
2017-04-03,NURE,LHO,0.0217214367,4813.0,136689.2
2017-04-03,NURE,RHP,0.0210061332,2172.0,132187.92
2017-04-03,NURE,EDR,0.0201913846,3115.0,127060.85
2017-04-03,NURE,APLE,0.0201101365,6657.0,126549.57
2017-04-03,NURE,RLJ,0.0193004477,5306.0,121454.34
2017-04-03,NURE,DRH,0.0146816922,8523.0,92389.32
2017-04-03,NURE,PEB,0.014021016,3070.0,88231.8
2017-04-03,NURE,XHR,0.0120413566,4551.0,75774.15
2017-04-03,NURE,MORE,0.0112874583,7103.0,71030.0
2017-04-03,NURE,INN,0.0098689539,3981.0,62103.6
2017-04-03,NURE,CHSP,0.009405898,2559.0,59189.67
2017-04-03,NURE,NSA,0.0068466643,1821.0,43084.86
2017-04-03,NURE,FCH,0.0064712113,5503.0,40722.2
2017-04-03,NURE,HT,0.0052826545,1794.0,33242.82
2017-04-03,NURE,SBY,0.0051753163,1519.0,32567.36
